sentence,intent
Hello,conversation
Hi,conversation
Hey,conversation
Good morning,conversation
Good afternoon,conversation
Good evening,conversation
Good night,conversation
How are you?,conversation
How's it going?,conversation
What's up?,conversation
Nice to meet you,conversation
Who are you?,conversation
What is your name?,conversation
Tell me about yourself.,conversation
What can you do?,conversation
Can you help me?,conversation
Thank you,conversation
Thanks a lot,conversation
You're awesome,conversation
Bye,conversation
See you later,conversation
Have a nice day,conversation
How's your day going?,conversation
Are you listening?,conversation
Can we chat?,conversation
Hello GIN,conversation
Hi there,conversation
Kaise ho?,conversation
Kya haal hai?,conversation
Namaste,conversation
Shukriya,conversation
Dhanyavaad,conversation
Alvida,conversation
Aap kaun ho?,conversation
Tum kaun ho?,conversation
Tum kya kar sakte ho?,conversation
Mujhe tumhare baare mein batao.,conversation
Kya tum meri madad kar sakte ho?,conversation
Kya chal raha hai?,conversation
Milkar achha laga.,conversation
Hello dost,conversation
Hi buddy,conversation
Kaise chal raha hai?,conversation
Kya tum mujhe sun sakte ho?,conversation
Thank you so much,conversation
Bye bye,conversation
Fir milte hain,conversation
Have a great day,conversation
You are very helpful,conversation
Mujhse baat karo.,conversation
Rahul ko call karo,contact
Message Mom,contact
Mummy ko message bhejo,contact
Dial Dad,contact
Call my brother,contact
Send a message to Aman,contact
Open my contacts,contact
Share my location with Rahul,contact
Video call Priya,contact
Take a photo,camera
Photo lo,camera
Record a video,camera
Record karo,camera
Scan this QR code,camera
Scan this card,camera
Open the camera,camera
Click a selfie,camera
What do you see?,camera
Capture this document,camera
Increase the volume,device
Volume up,device
Volume down,device
Battery kitni hai?,device
Show battery percentage,device
Reboot the device,device
Restart the glasses,device
Turn on Bluetooth,device
Turn off WiFi,device
Enable airplane mode,device
Share my location with Rahul,contact
Book a table at a restaurant near Times Square for 2 people tomorrow night,task
What's the weather today?,search
Will it rain tomorrow?,search
Show me nearby restaurants.,search
Find a coffee shop near me.,search
What is the current temperature?,search
Latest news about AI.,search
Search for pizza places nearby.,search
Show today's IPL score.,search
Find the nearest ATM.,search
Search for flights to Delhi.,search
Aaj ka mausam kaisa hai?,search
Kal baarish hogi kya?,search
Mere aas paas restaurants dikhao.,search
Sabse nazdeek ATM kahan hai?,search
Aaj ki breaking news dikhao.,search
Delhi ki flight search karo.,search
Aaj ka gold rate batao.,search
Petrol ka price kya hai?,search
Cricket score batao.,search
Taj Mahal ke timings batao.,search
Nearby cafes dikhao.,search
IPL ka live score batao.,search
Mere paas medical store search karo.,search
Aaj ka NIFTY level kya hai?,search
Pizza outlets near me search karo.,search
Weekend weather forecast dikhao.,search
Best hotels near airport dikhao.,search
Rahul Dravid ke baare mein search karo.,search
Find hospitals near my location.,search
Mumbai to Goa train timings dikhao.,search
Search for nearby pharmacies.,search
Show me the nearest petrol pump.,search
Find a good hotel near me.,search
What time does the sun set today?,search
Find the nearest metro station.,search
Nearby gym dikhao.,search
Best restaurants in Chandigarh batao.,search
Mere aas paas grocery store search karo.,search
Aaj ka USD to INR exchange rate kya hai?,search
Kal ka temperature kitna hoga?,search
Search nearby charging stations.,search
Find the closest police station.,search
Who won yesterday's cricket match?,search
Search for tourist places near me.,search
Nearby parking search karo.,search
Good to see you,conversation
Hope you're doing well,conversation
It's nice talking to you,conversation
How have you been?,conversation
Long time no see,conversation
Are you there?,conversation
Can you hear me?,conversation
Let's have a chat,conversation
Tell me something interesting,conversation
Do you enjoy talking?,conversation
You're funny,conversation
You're very smart,conversation
I like talking to you,conversation
You're my favorite assistant,conversation
Glad to meet you,conversation
How's everything?,conversation
Have a wonderful day,conversation
Catch you later,conversation
Take care,conversation
See you soon,conversation
Kaafi achhe ho tum,conversation
Tum bahut intelligent ho,conversation
Aaj kaise ho?,conversation
Kya tum online ho?,conversation
Mujhse thodi der baat karo,conversation
Tumse baat karke achha laga,conversation
Phir baat karenge,conversation
Apna khayal rakhna,conversation
Bahut badhiya,conversation
Tum meri baat samajh rahe ho?,conversation
Book a table at a restaurant,task
Reserve a hotel room,task
Order a taxi,task
Book a flight to Mumbai,task
Order groceries online,task
Send an email to my manager,task
Reply to my latest email,task
Order dinner from Zomato,task
Book movie tickets,task
Pay my electricity bill,task
